,3-gram,*/*
302,ILI,1696501308
303,BEE,1688792738
304,ORK,1683087659
305,LIS,1682095398
306,NIT,1679865263
307,ORI,1679533364
308,THR,1673179164
309,ATH,1656426922
310,VEL,1654573696
311,TIE,1642539281
312,ANI,1625600626
313,CUL,1623340608
314,HIL,1623042285
315,TEM,1622557132
316,RIA,1619408655
317,TRE,1616513740
318,IVI,1606414119
319,VES,1605862116
320,PEN,1603639140
321,CRE,1603148614
322,OLL,1597970087
323,ELE,1594486155
324,LON,1587180640
325,WAR,1583926445
326,EQU,1583257479
327,TRO,1582672298
328,EAL,1576388073
329,REP,1574573479
330,ELI,1573591451
331,IAN,1569158397
332,SID,1568981834
333,ISE,1568344516
334,ERV,1556518611
335,TRU,1549162360
336,ILE,1548861086
337,QUE,1540834455
338,HIM,1537248696
339,MED,1533532886
340,WOU,1530956183
341,FIN,1520863786
342,UCT,1516594336
343,OLD,1505803220
344,OOD,1500709917
345,COR,1495416668
346,NEW,1494928759
347,EAC,1481161790
348,ERM,1475075676
349,FAC,1472843774
350,BOU,1471128114
351,ACK,1464619127
352,SUC,1463698853
353,EDI,1451750421
354,NTO,1449629791
355,CAR,1448156884
356,OLI,1443365710
357,NLY,1440124041
358,MIL,1439084774
359,EED,1437607478
360,WAY,1431027289
361,ROP,1428409887
362,ITA,1427457862
363,ETH,1414693947
364,ECI,1414091861
365,UTI,1414080695
366,MAY,1412466904
367,ICI,1411469580
368,WHA,1407866798
369,RMA,1402784961
370,ARA,1392894978
371,QUI,1384393039
372,REM,1380269169
373,MBE,1376365247
374,FTE,1371492548
375,RST,1364987497
376,VED,1359443941
377,CTE,1357259543
378,NDS,1350307486
379,FIR,1350121749
380,LIE,1348622147
381,MET,1345596441
382,OOK,1340578410
383,MOS,1336327519
384,MES,1335784567
385,ACC,1335476272
386,VIN,1335241247
387,GIN,1329414655
388,ETE,1324106156
389,RGE,1318433016
390,OIN,1315707093
391,ARR,1315150675
392,HOL,1312505295
393,IGN,1312444251
394,SEC,1311031779
395,PON,1310917185
396,ESI,1310432300
397,TLY,1303246357
398,EMP,1301427587
399,SIS,1299963406
400,IED,1296080290
401,OTE,1295951836
402,RTH,1294805606
403,MAL,1292178604
404,COL,1288310679
405,DIT,1282288818
406,BLI,1279029992
407,RON,1278719824
408,GES,1276369776
409,SHI,1275044982
410,CIE,1273539579
411,ATU,1271862404
412,RET,1268237862
413,GER,1268117314
414,REF,1267265138
415,OLO,1265524937
416,AUS,1262012449
417,RCH,1261302449
418,LAC,1257561661
419,LLO,1256491417
420,TLE,1251635091
421,TIT,1246928327
422,IFI,1245924749
423,HOS,1244713023
424,BEC,1241611218
425,PEA,1240165018
426,ECE,1236102954
427,LLI,1236074227
428,ONC,1235335543
429,RCE,1234682633
430,FUL,1234540963
431,GRO,1230277639
432,ORS,1222304913
433,LAS,1220793842
434,RIO,1220235046
435,ARS,1217318786
436,CED,1216728247
437,WIN,1216304177
438,ONL,1214820120
439,VID,1212096337
440,NGS,1209854635
441,IOU,1207913620
442,ORY,1206606762
443,CLE,1202720861
444,LEC,1201130773
445,ITT,1197174866
446,URI,1196296508
447,OSS,1189532371
448,RTA,1187187660
449,CER,1185469813
450,POL,1183491197
451,NIS,1182596115
452,ARL,1178491856
453,EXT,1175724950
454,HED,1175539685
455,PPE,1171579952
456,ISI,1170738876
457,VAL,1167421106
458,ARG,1163598275
459,RIG,1158099454
460,NSE,1155938022
461,HOR,1153746894
462,ISS,1152026468
463,IAT,1151580638
464,CRI,1150300966
465,ELA,1149221682
466,ESP,1148639931
467,ITU,1144223267
468,TWO,1144145849
469,NOR,1141113001
470,RSE,1140048363
471,OFF,1138112310
472,IFF,1137844863
473,TEL,1137132381
474,ETI,1133782356
475,IRS,1132908546
476,CUR,1129852214
477,AID,1127820011
478,BET,1126658971
479,RAI,1122870370
480,CAS,1118830228
481,TIL,1115377334
482,LSO,1113441267
483,CHO,1111222473
484,EAN,1111113412
485,OCI,1107578343
486,TAB,1104333417
487,QUA,1103867434
488,FFI,1102521640
489,USI,1101229824
490,MPO,1098955147
491,DIA,1097668021
492,IKE,1097326708
493,PAT,1094793206
494,TON,1094573483
495,DIF,1094447781
496,UES,1093884478
497,MIT,1091175791
498,SOC,1090079564
499,SHA,1088317972
500,KNO,1087994813
501,ROV,1087399037
502,NCI,1087234797
503,MUS,1085334955
504,URA,1083612677
505,AFT,1081392153
506,LOG,1080913704
507,HRO,1080845222
508,INF,1078671633
509,CAU,1078089074
510,LET,1077677454
511,ALT,1077612543
512,RRE,1076901529
513,ANA,1076655840
514,ELF,1072288962
515,ENG,1072068149
516,ETT,1071390354
517,ORA,1068437016
518,MIS,1067766067
519,REG,1067531461
520,LIG,1066978562
521,EPT,1066672616
522,AIL,1066295388
523,URN,1065987062
524,UTE,1065304600
525,ROD,1065013738
526,IMA,1062594282
527,MEA,1061920786
528,TAR,1057905784
529,ALE,1055994193
530,OLE,1055326048
531,OSI,1053469905
532,EIN,1052378146
533,UTH,1044564536
534,WEL,1041901536
535,CLA,1041148273
536,WEE,1038999155
537,TIA,1034746450
538,EMB,1034111034
539,DAY,1030064586
540,ASI,1027882324
541,RDE,1027838103
542,STU,1027123631
543,URS,1027037553
544,FOU,1022261274
545,IZE,1022022237
546,OMI,1020006801
547,EFO,1016116936
548,LIK,1013577522
549,REV,1011248116
550,AYS,1005365430
551,ELO,1001816277
552,RAD,998833818
553,DEA,998176981
554,TAK,997809257
555,SUP,997681045
556,SUB,997657281
557,SOU,996701032
558,ECA,996015864
559,EMA,990902887
560,ODU,990596720
561,YEA,989592751
562,ILD,989324892
563,SPO,987586071
564,LEN,986126642
565,MPA,985870333
566,DIC,984016286
567,PLI,983904792
568,FEC,981757516
569,RRI,981231076
570,EVI,979630535
571,ICT,975024267
572,TUD,974798180
573,LOS,973051701
574,CTU,972918524
575,LEM,970055754
576,HAL,968450734
577,TWE,965876224
578,ISC,963324995
579,ROC,960910746
580,CTO,959250391
581,ARC,958282541
582,SIG,955015092
583,AMI,954200048
584,KED,947646862
585,JEC,947396391
586,HAP,945457718
587,PTI,944224042
588,BRI,943772016
589,UBL,943284050
590,SOL,942835095
591,RLY,941843958
592,CIT,940565695
593,ADI,939330729
594,FRE,938202358
595,CTS,937872402
596,AIR,936013199
597,ROW,935664882
598,NGL,934145713
599,UDE,933960576
600,STS,930697760
601,DRE,929834043
602,NIC,927766522
603,DEC,924397433
604,PAN,923295741
605,BIL,923236035
606,LIF,918198174
607,NNE,916381089
608,LOO,916213089
609,AMP,914332916
610,SAI,910906215
611,UNC,910147780
612,XPE,905786325
613,IMI,904297435
614,GAI,902646892
615,ARK,901575371
616,TIS,899894700
617,HEL,895622705
618,VIS,892994837
619,MAK,892108777
620,AGA,888873878
621,IBL,886743270
622,IFE,885964032
623,SEA,885690434
624,ROB,884324710
625,TOO,884272228
626,GET,877653491
627,EFF,877045505
628,RTE,876755827
629,PPO,875660099
630,DEP,873351630
631,AVI,873089933
632,RNE,872086009
633,RIB,871320598
634,VOL,867955750
635,MAD,867719645
636,GIV,866012422
637,DIE,864452826
638,RDS,863161947
639,SCH,862139668
640,ROL,861595115
641,OVI,860059985
642,RIV,859738982
643,DEV,859029789
644,TRY,853595303
645,ODE,849860660
646,GAN,846300024
647,BEL,844037777
648,NDA,843988417
649,LIA,842583607
650,RVE,842146751
651,MIC,839395147
652,ETW,837710782
653,TUA,834335454
654,ERC,832091674
655,DEL,830191335
656,CLU,828925492
657,UME,827410486
658,EGI,827295919
659,SAM,824905236
660,MAI,824223079
661,ANN,819945835
662,ICU,819285824
663,ROS,817839847
664,EMS,815228219
665,ARM,807538868
666,EMO,807304396
667,SIB,806000970
668,YST,804081058
669,EGA,801442700
670,SCR,800164023
671,OLU,797461296
672,RAM,793005418
673,UPP,789634711
674,LVE,788914661
675,BRO,788061140
676,UEN,785681398
677,CAM,784839780
678,RNA,784467338
679,URT,781997713
680,PIN,778611405
681,TTL,778068662
682,EXA,775248241
683,RUC,775159005
684,HIG,772126498
685,ETA,770934179
686,DID,769945900
687,FOL,766935020
688,VIC,766889920
689,MME,766703773
690,DAT,765559341
691,EDU,765302903
692,OCE,761797902
693,CEP,761228051
694,ROT,760744381
695,VIE,760388199
696,PAS,759949263
697,ORG,758376569
698,NTL,758192199
699,SET,756096508
700,OTI,755506245
701,SPI,755473878
702,RSO,751293539
703,ILY,747899561
704,DIV,747835577
705,ATO,746412486
706,INV,746392672
707,BAS,744905690
708,PUB,744800259
709,AUT,744436126
710,ONI,744269828
711,EXC,743862324
712,SSU,743466423
713,MOD,742956938
714,RMI,742075032
715,LUE,740431197
716,OPL,740318480
717,LOR,738743414
718,EIG,737456312
719,POI,737261233
720,JUS,732777049
721,EOP,732303726
722,DGE,730974664
723,EET,730407373
724,ERR,728862875
725,MOT,727423746
726,CCO,724991418
727,OMA,724716113
728,NVE,723429596
729,ONO,722854443
730,FIE,722377849
731,YIN,720955118
732,HIP,720468234
733,RAP,720148164
734,HOO,718978479
735,ISM,718830425
736,URC,717790756
737,DOW,714928592
738,ULL,713796916
739,BRA,712548578
740,LAY,711263905
741,UMB,710795416
742,NCL,710615019
743,ICK,710076724
744,NME,709157407
745,CAP,707793573
746,HOM,706992949
747,GED,706338332
748,LOP,705540816
749,IET,704821951
750,LER,704516213
751,OGR,701989031
752,EFE,701740204
753,DEF,700730657
754,SSA,699833907
755,VAR,699147321
756,NUM,699083645
757,CCE,697987963
758,NEE,697844819
759,HRE,697054423
760,TEA,696506548
761,LEG,695915444
762,PEO,693824015
763,LOC,692247660
764,BOT,691834172
765,PED,691518359
766,ENI,691434241
767,LAI,689237296
768,PUT,688971420
769,AMO,687459283
770,INK,687441468
771,RDI,686808187
772,ELD,685554767
773,SIC,683210209
774,RVI,681816885
775,REQ,681783375
776,BEI,680012701
777,BAC,679230118
778,LIV,678367898
779,RNI,677063946
780,MEM,673653028
781,MOU,670836063
782,EPA,670119745
783,RME,669902432
784,SUL,669899495
785,BOR,669471253
786,DUR,668020262
787,DON,667737972
788,OOL,667687021
789,SCO,667321779
790,SIM,666406638
791,PPL,665998796
792,CRO,663886756
793,RTS,663354083
794,ADD,662215010
795,EMI,661230058
796,MPE,660864046
797,FRA,660599583
798,FIG,659750979
799,RKE,658364464
800,ESC,652487526
801,ABI,651696717
802,ANO,651516330
803,UIT,651246069
804,TEC,650401196
805,RIM,649238552
806,APE,648908838
807,CUS,647914715
808,SUM,647139248
809,BAN,645057962
810,BJE,643845268
811,ANE,643621617
812,GOO,643615423
813,ESU,642724688
814,OCK,641629889
815,TEE,639946732
816,ERF,638460356
817,SAL,637224917
818,DEM,635605292
819,VAT,634893030
820,UDI,631757847
821,MUC,630921987
822,SYS,630540554
823,LLA,629848556
824,NOM,629162643
825,TCH,626978818
826,UCE,624817434
827,SOR,624654035
828,NDO,624543672
829,TIF,624529812
830,UAT,624513390
831,NCH,623673170
832,NDU,622888895
833,RSI,622584001
834,GAT,621554232
835,VAN,621167643
836,PPR,621085890
837,MOV,620328573
838,ECH,620210511
839,CIP,619853364
840,ROO,619057859
841,ELS,617606060
842,NEC,617226944
843,BEF,616963056
844,CLO,615967520
845,ORN,615521992
846,PTE,613211980
847,ALU,610483010
848,EEM,609798272
849,ONF,609631269
850,SCI,608066956
851,IGI,605989266
852,ROA,604424112
853,MAG,604139378
854,LAB,603964635
855,DET,603630199
856,KEN,603473338
857,ILA,603022094
858,ORR,602962720
859,RAG,602538039
860,RUS,602066850
861,OES,599265114
862,SAY,598649761
863,ACI,598554452
864,PUR,598430875
865,GAR,597550589
866,NAR,597245429
867,CIS,596977720
868,NAM,596545589
869,ANK,596166885
870,VIT,595890204
871,WAT,595790707
872,PRA,595023652
873,NCO,593764716
874,POW,591086279
875,FEE,588699118
876,FAI,588469472
877,ECU,588451528
878,ROG,587745058
879,FAR,586613347
880,TME,586275070
881,LUT,586025159
882,IER,585839697
883,ORL,584753943
884,RTY,584138340
885,OWI,583860434
886,DIR,583508348
887,NCT,582944044
888,LEV,582781272
889,PLO,581862296
890,PAI,581119919
891,MUN,580819907
892,GOV,580507025
893,ICS,580339768
894,NFO,580272256
895,SAN,580205872
896,SSO,579974921
897,OCA,579819067
898,EEP,577040502
899,TOM,575712925
900,LAW,575326744
901,URR,574723133
902,LTH,574593264
903,NTH,573541626
904,OUP,573093303
905,IBE,572896069
906,PIT,570651202
907,EPE,569820096
908,MAS,569759866
909,INU,569208816
910,VIO,568482139
911,NAN,567578107
912,LLS,566723763
913,NET,566679328
914,OBL,565918607
915,WRI,565540726
916,LUD,565178114
917,AFF,564298855
918,APT,563987194
919,PHI,563709005
920,CCU,563582357
921,FRI,561429883
922,EPR,561040509
923,RMS,560553082
924,IEW,560419110
925,IVA,557471687
926,SMA,557244946
927,DAR,556601945
928,ALO,555327758
929,OCC,555149612
930,XAM,554911076
931,LIM,553827334
932,UPO,552304038
933,EDE,551766457
934,SPA,550950969
935,DOM,548383587
936,EFI,547869163
937,RGA,547729328
938,CEL,547638409
939,GNI,547389754
940,TUT,545107488
941,IZA,545006745
942,SLA,543758567
943,DRA,543168190
944,UIR,543000381
945,HUS,542710252
946,SAT,542405401
947,OKE,542317490
948,ENA,541348028
949,MIG,541211462
950,FUN,541045710
951,RLD,540850186
952,ORC,540145077
953,SEV,538552249
954,NEV,537835914
955,LUS,537752963
956,ARN,537524042
957,MSE,537125265
958,UAR,536972943
959,ERO,536631879
960,DAN,535210110
961,PUL,534138884
962,EAK,533819143
963,TTI,532569021
964,ZED,530706145
965,ADV,529078659
966,OPP,526407315
967,OWS,525286869
968,PAC,524393599
969,ENO,524117321
970,ERG,522437376
971,TOW,521953113
972,UNG,520813279
973,MPT,520443899
974,PHY,520051077
975,WEV,519328079
976,BIT,517175588
977,EXI,517094815
978,PIC,516508524
979,SIV,516160771
980,MMU,514873401
981,NCR,514400761
982,YSI,514268650
983,LIZ,514080290
984,BOO,513934276
985,AKI,513305537
986,NEA,511457158
987,KER,511161815
988,OGI,510956915
989,CIN,509740177
990,IOR,509362468
991,RAB,508075152
992,VIL,506929428
993,RRO,506856356
994,WED,504699195
995,TAG,503861127
996,FIL,503528116
997,ASK,502693225
998,FAM,501543055
999,BEA,500493043
1000,BAR,499111508
1001,BLY,498449066
1002,CKE,498365777
1003,SCA,497477760
1004,USS,497268840
1005,HUM,496658944
1006,ISO,495128118
1007,GIC,492944870
1008,WOM,492837641
1009,BRE,490909165
1010,ASO,489645834
1011,EAV,488907405
1012,NSU,488861098
1013,THU,487092722
1014,MMI,484589753
1015,IEV,484105010
1016,IBI,483600637
1017,PIR,482853640
1018,ONV,480585073
1019,ATA,478629045
1020,NIZ,478334833
1021,MMO,476104007
1022,EEL,476027430
1023,ZAT,475267359
1024,EPO,475136635
1025,BES,475045947
1026,AWA,474757459
1027,GLE,473925675
1028,GIO,473864322
1029,BUR,473830694
1030,WAN,473477954
1031,CLI,473432350
1032,MUL,473243044
1033,WIS,472182912
1034,NCY,471086019
1035,OFT,470251665
1036,BEG,468216030
1037,NOU,468011375
1038,CHR,467705604
1039,NGU,467187939
1040,RAR,465955437
1041,OOR,464661153
1042,WAL,464440380
1043,ULE,464378089
1044,FLO,463813489
1045,ASH,463302491
1046,BSE,463082419
1047,BOD,462224029
1048,HIT,461820812
1049,DUA,461735226
1050,RID,460843781
1051,LTI,458767006
1052,IGU,458187009
1053,TAC,456894504
1054,NIO,456796159
1055,RNM,455872047
1056,TYP,454150344
1057,AGR,453981980
1058,ETS,453820281
1059,CRA,451802207
1060,COV,451376925
1061,INN,451163417
1062,IEL,451086003
1063,UIL,450594824
1064,OTA,447404740
1065,BUS,447297185
1066,CID,446927214
1067,MPR,445517720
1068,UMA,443921884
1069,IMS,443262284
1070,APH,440006034
1071,NON,439384745
1072,BED,438660881
1073,NIA,438644406
1074,DOE,438196437
1075,NNI,437479681
1076,ETY,437267283
1077,NTU,436632266
1078,HET,435934061
1079,ASU,435788438
1080,KET,435577304
1081,IBU,434327234
1082,RPO,433622989
1083,ALA,433607274
1084,GOD,433391376
1085,XTE,432168167
1086,IRI,432117797
1087,HUR,431219434
1088,EOR,430130562
1089,OBS,428337956
1090,RTU,428054327
1091,APA,426969299
1092,NGT,425628035
1093,OAD,424668969
1094,CEI,424619538
1095,CUT,423838632
1096,RIP,423718650
1097,PET,423503007
1098,NIV,421696750
1099,EVA,421021857
1100,ARO,420711049
1101,AUG,420380181
1102,GUR,420321962
1103,PHE,420253872
1104,HRI,419918784
1105,RAS,417731974
1106,EGR,417610890
1107,OLV,417324769
1108,LUM,417288443
1109,PME,416666694
1110,GUE,416659675
1111,PLY,416438050
1112,GLA,416133689
1113,BLA,415584529
1114,NIF,414875698
1115,ERL,412339257
1116,SIA,412113210
1117,BIN,411758942
1118,EIT,411321847
1119,SUA,410151862
1120,WEN,409684713
1121,LOY,409021763
1122,OGE,408902317
1123,HIE,406947564
1124,ODY,405905497
1125,SAR,405723043
1126,EEK,405308236
1127,HIR,404009130
1128,LDE,403514580
1129,SCU,402905888
1130,BAL,402550449
1131,OGY,402358741
1132,DEE,402068410
1133,DLE,401335194
1134,REI,401247424
1135,UBS,400594752
1136,FAT,399638989
1137,GUI,398119819
1138,HOP,397704024
1139,ROF,396697770
1140,BEN,395981485
1141,NGI,395552905
1142,EFU,395242650
1143,IPL,394886604
1144,ADY,394365192
1145,WES,394288907
1146,OPI,394069109
1147,TOP,393846793
1148,NFL,393257454
1149,IEF,392600321
1150,OPO,390416579
1151,OTT,389632128
1152,FUR,388818324
1153,YPE,388643374
1154,XCE,388278983
1155,GUA,387449005
1156,RRA,387052729
1157,PHO,385803861
1158,ADM,385781613
1159,PHA,385148149
1160,UFF,385031519
1161,VEM,385026394
1162,RIL,384646945
1163,EDG,384410968
1164,API,384145301
1165,LOV,383932129
1166,ALY,383746110
1167,DLY,383625855
1168,EUR,383427200
1169,LOU,382812406
1170,EAM,382566587
1171,ITO,382559322
1172,ISA,382538915
1173,EIV,382092120
1174,WEA,380802933
1175,XPL,379955084
1176,KES,379487762
1177,LIB,379482356
1178,ETR,379071696
1179,ALM,378668968
1180,OLA,377713012
1181,SCE,377452861
1182,MMA,377163788
1183,CHU,377097562
1184,IMM,375851458
1185,DMI,375343715
1186,FLU,374860556
1187,ISP,374686361
1188,VIR,373967191
1189,ALK,373963607
1190,GGE,373954137
1191,IFT,373553683
1192,EGE,373252036
1193,BLO,373025429
1194,AIT,371356923
1195,NEY,371136413
1196,LDI,371006584
1197,SUE,370988417
1198,OWL,369656751
1199,URP,368459192
1200,POT,368353412
1201,ELP,367148003
1202,BEH,366991037
1203,URY,366847738
1204,LTU,365484469
1205,FLE,365357220
1206,NAG,364748771
1207,SWE,364367455
1208,RVA,364236067
1209,AVA,364235861
1210,HON,363836127
1211,HOD,362902452
1212,DRI,362862703
1213,COS,360314122
1214,HEO,359780053
1215,OOM,359663502
1216,IRC,359509837
1217,EXE,358959335
1218,UGG,358718875
1219,CTR,358161894
1220,NVI,357631325
1221,XIS,357525633
1222,POP,357210924
1223,OPH,356600789
1224,ODI,356560386
1225,IDU,355935495
1226,AYE,355928894
1227,ELV,355181363
1228,SUS,354962390
1229,SIL,354944731
1230,ODS,354672257
1231,OON,354160801
1232,FEA,353244737
1233,ESO,353010991
1234,EVO,352827723
1235,UNE,352245030
1236,LDR,351896647
1237,LTE,351862627
1238,FIT,351814306
1239,AVO,351031951
1240,EES,350774036
1241,ONN,350426547
1242,UCC,349418297
1243,HAM,347449879
1244,TOL,347077752
1245,DDE,346168146
1246,AMA,346009526
1247,BAT,345956036
1248,FES,345906667
1249,LWA,343420004
1250,FEW,343232008
1251,FEL,342865508
1252,TTA,342495488
1253,IRT,342040021
1254,UCA,341324386
1255,OOT,341233922
1256,SEP,340602145
1257,OPM,339936701
1258,IUM,339091579
1259,OWA,338671620
1260,NIE,338648482
1261,RUL,338264290
1262,ECR,337163800
1263,UIS,336930138
1264,NEN,336661843
1265,BUI,336162523
1266,OBA,335542032
1267,ERP,334470442
1268,IOD,334450763
1269,EFT,334152299
1270,MAC,333454662
1271,LOT,333361127
1272,PAL,333187795
1273,IOL,332620874
1274,EER,332310293
1275,SLY,331906808
1276,ABS,331401871
1277,RAV,330927340
1278,YED,330433170
1279,CIR,329296529
1280,OUB,329157076
1281,GUL,328851547
1282,UBJ,328560179
1283,YOR,328388222
1284,IGA,328327871
1285,ETU,328058396
1286,YER,327979621
1287,CIL,327875611
1288,DUS,327612780
1289,LEF,327333136
1290,EYE,325614608
1291,DDI,325302622
1292,SIR,324882332
1293,USL,324294218
1294,HUN,324209642
1295,NUE,324125778
1296,HTE,324027724
1297,CIF,323469753
1298,AGI,322624541
1299,HYS,322520808
1300,FOO,322355794
1301,RLI,322035202
1302,DOU,321531621
1303,BST,321136615
1304,PIE,320762617
1305,RAW,320162540
1306,OBJ,319748007
1307,ISL,319466237
1308,APS,319348661
1309,CKS,319297278
1310,CUM,318105906
1311,CHN,317663907
1312,MID,317077286
1313,IDI,316779025
1314,TEX,316401885
1315,TOG,316055072
1316,FAL,315863452
1317,OSP,315734901
1318,BAB,315104155
1319,YTH,315021900
1320,JOH,314841337
1321,EWS,314572664
1322,GLI,314478723
1323,GEO,314457027
1324,NTY,313628993
1325,ACR,313132573
1326,TEG,313052109
